Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:11:57.911374,-344,556,868
2015-06-12 14:11:58.010823,-356,588,696
2015-06-12 14:11:58.110272,-436,664,524
2015-06-12 14:11:58.209721,-408,724,628
2015-06-12 14:11:58.309170,-440,780,588
2015-06-12 14:11:58.408619,-428,784,660
2015-06-12 14:11:58.508068,-416,744,692
2015-06-12 14:11:58.607517,-440,652,684
2015-06-12 14:11:58.706966,-480,576,696
2015-06-12 14:11:58.806415,-492,572,696
2015-06-12 14:11:58.905864,-484,656,652
2015-06-12 14:11:59.005313,-444,696,636
2015-06-12 14:11:59.104762,-420,652,736
2015-06-12 14:11:59.204211,-440,604,708
2015-06-12 14:11:59.303660,-340,664,792
2015-06-12 14:11:59.403109,-356,756,556
2015-06-12 14:11:59.502558,-312,708,728
2015-06-12 14:11:59.602007,-312,572,840
2015-06-12 14:11:59.701456,-248,652,764
2015-06-12 14:11:59.800905,-252,820,484
2015-06-12 14:11:59.900354,-244,792,536
2015-06-12 14:11:59.999803,-236,660,764
2015-06-12 14:12:00.099252,-232,460,876
2015-06-12 14:12:00.198701,-240,436,888
2015-06-12 14:12:00.298150,-248,552,860
2015-06-12 14:12:00.397599,-316,608,824
2015-06-12 14:12:00.497048,-368,648,916
2015-06-12 14:12:00.596497,-400,656,860
2015-06-12 14:12:00.695946,-396,608,948
2015-06-12 14:12:00.795395,-416,704,552
2015-06-12 14:12:00.894844,-368,648,848
2015-06-12 14:12:00.994293,-328,592,756
2015-06-12 14:12:01.093742,-184,536,440
2015-06-12 14:12:01.193191,-72,704,488
2015-06-12 14:12:01.292640,-92,728,392
2015-06-12 14:12:01.392089,-68,756,580
2015-06-12 14:12:01.491538,-240,804,456
2015-06-12 14:12:01.590987,-416,1000,440
2015-06-12 14:12:01.690436,-488,960,576
2015-06-12 14:12:01.789885,-504,988,748
2015-06-12 14:12:01.889334,-440,860,644
2015-06-12 14:12:01.988783,-408,856,644
2015-06-12 14:12:02.088232,-372,772,700
2015-06-12 14:12:02.187681,-264,672,744
2015-06-12 14:12:02.287130,-268,624,676
2015-06-12 14:12:02.386579,-260,664,592
2015-06-12 14:12:02.486028,-296,652,668
2015-06-12 14:12:02.585477,-344,672,704
2015-06-12 14:12:02.684926,-320,692,788
2015-06-12 14:12:02.784375,-324,796,636
2015-06-12 14:12:02.883824,-304,824,592
2015-06-12 14:12:02.983273,-280,776,600
2015-06-12 14:12:03.082722,-280,732,648
2015-06-12 14:12:03.182171,-288,756,652
2015-06-12 14:12:03.281620,-296,784,640
