timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
7700,-0.69913,-1.60896,-9.4718,0.24414,11.71875,-20.50781,-0.98166,-0.98166,-10.51571,-15.13672,-23.01025,-0.30518
7800,1.12053,-1.37911,-8.60028,1.64795,10.49805,-20.50781,1.02475,-1.19714,-9.31857,-19.89746,-12.69531,-24.6582
7900,2.49964,-1.60896,-7.34567,0.85449,9.82666,-21.24023,2.25063,-2.36077,-9.04083,25.87891,7.87354,-3.41797
8000,0.90983,-3.57228,-10.1422,0.97656,9.82666,-21.66748,0.60336,-3.63453,-11.03288,64.45312,12.81738,34.48486
8100,0.05746,-2.49006,-8.42789,1.2207,12.75635,-20.50781,-0.15802,-2.25063,-9.20364,28.32031,9.70459,-6.65283
8200,2.04951,-2.49006,-10.83175,1.34277,13.06152,-18.61572,1.78135,-2.71991,-12.4072,-17.33398,18.55469,-5.00488
8300,1.71431,-2.8923,-9.18449,0.97656,12.75635,-18.79883,1.47488,-2.63372,-9.88362,-26.12305,15.93018,-13.30566
8400,5.20039,-0.19154,-7.82453,-0.73242,12.39014,-20.01953,4.95617,-1.44615,-8.969,-14.64844,12.26807,8.05664
8500,2.02078,-1.0056,-8.37043,-0.73242,11.71875,-20.01953,2.0543,-0.73744,-8.73915,10.43701,12.87842,57.9834
8600,-0.85237,-1.37911,-8.81098,0.0,11.96289,-19.71436,-1.17799,-0.42618,-9.5963,-15.31982,-9.76562,6.65283
8700,0.72786,-2.26021,-9.90277,1.34277,11.2915,-20.75195,0.88589,-2.23148,-11.11907,22.2168,-10.43701,-52.18506
8800,3.5627,-2.58583,-8.9259,0.0,12.39014,-20.38574,3.61058,-3.3089,-9.90756,18.55469,-5.18799,-54.38232
8900,3.62974,-1.26418,-8.41831,-1.46484,12.39014,-19.71436,3.29454,-2.15965,-9.30899,34.05762,11.16943,22.76611
9000,0.97687,-1.92501,-10.21882,-1.15967,12.45117,-20.01953,0.57942,-1.37911,-11.24357,-29.96826,-14.28223,27.58789
9100,1.81008,-1.87712,-9.50053,-0.36621,12.45117,-20.38574,1.61375,-1.79572,-10.24755,-22.46094,-17.7002,17.33398
9200,-0.78533,-1.48446,-9.16533,0.97656,11.41357,-20.01953,-1.15405,-0.89067,-10.21403,-8.72803,-19.77539,-4.02832
9300,-0.08619,-1.12053,-9.15575,2.13623,12.08496,-20.75195,-0.30168,-0.81885,-10.02249,-15.19775,-10.19287,-38.87939
9400,3.0168,-1.1301,-8.15015,0.97656,11.41357,-21.54541,2.81089,-1.53713,-9.55799,6.71387,1.15967,-26.42822
9500,1.43657,-2.1357,-9.21322,0.67139,11.77979,-20.38574,1.17799,-2.6385,-9.85489,61.03516,18.49365,12.63428
