timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
5800,-0.41182,3.42862,-8.93548,11.41357,9.64355,-14.22119,-1.12531,0.22985,-11.5261,131.04248,-23.62061,-0.36621
5900,0.41182,2.05909,-9.30899,9.94873,13.91602,-12.57324,0.33999,2.87793,-10.50613,191.71143,15.625,99.36523
6000,0.43097,1.45573,-9.33772,12.87842,12.20703,-6.5918,-0.05746,2.14528,-11.24357,108.64258,11.47461,43.5791
6100,-0.67998,1.74304,-10.56359,15.01465,13.3667,-2.80762,-0.99602,1.56108,-11.0664,20.1416,12.39014,-6.5918
6200,-0.93856,3.24665,-9.51011,12.26807,-4.15039,-14.4043,-0.86673,3.13652,-9.81179,-10.92529,16.41846,18.12744
6300,-0.92898,3.18919,-9.62503,11.96289,-3.41797,-14.70947,-0.93377,2.9737,-9.46222,-3.35693,-2.19727,22.94922
6400,-2.93061,3.19877,-8.8014,12.26807,-4.88281,-13.73291,-3.0168,3.15567,-9.43349,15.44189,2.44141,45.10498
6500,-1.38869,2.33682,-9.32814,12.26807,-5.5542,-14.16016,-1.01997,2.54273,-9.08871,-3.54004,19.65332,30.33447
6600,0.45013,2.35598,-7.61383,11.59668,-6.04248,-13.3667,0.74702,2.87314,-7.49412,-17.33398,0.97656,18.73779
6700,-1.44615,2.24105,-7.82453,10.80322,-5.5542,-13.24463,-1.43657,2.60977,-6.96738,0.36621,8.30078,-7.26318
6800,-2.0974,2.71991,-8.64817,10.74219,-7.08008,-14.89258,-2.16922,2.48527,-9.47659,2.38037,0.06104,3.66211
6900,0.80448,3.17961,-9.87404,11.90186,-6.34766,-14.16016,1.05349,2.9354,-9.77348,-21.72852,9.70459,27.58789
7000,-0.87152,1.74304,-8.55239,10.43701,-6.34766,-13.3667,-0.838,1.98247,-8.57155,-3.41797,-7.38525,-11.47461
7100,-3.38073,2.15486,-7.92988,10.00977,-8.17871,-14.16016,-3.352,2.09261,-8.33212,0.42725,-2.99072,-3.96729
7200,-0.07662,2.93061,-9.2611,10.43701,-7.38525,-14.4043,0.33041,3.11736,-9.42391,-9.76562,5.37109,-20.50781
7300,0.43097,1.58981,-8.26508,10.43701,-7.8125,-14.16016,0.55069,1.28813,-7.9203,11.53564,1.34277,-26.97754
7400,-0.90983,1.85797,-8.38,10.74219,-6.34766,-13.24463,-1.11574,1.41742,-8.10227,8.54492,-0.12207,-6.04248
7500,-1.82924,2.04951,-9.11745,10.43701,-6.71387,-14.83154,-1.64727,2.07345,-9.04083,-14.28223,-14.16016,6.10352
